Date,Price,Open,High,Low,Vol.,Change %
23-Jul-21,32286.4,32320.00,32931.00,32228.00,5.27K,-0.10%
22-Jul-21,32320,32141.00,32609.70,31747.00,5.23K,0.56%
21-Jul-21,32141,29806.10,32804.00,29545.00,8.25K,7.83%
20-Jul-21,29806.1,30847.00,31075.00,29341.00,8.88K,-3.37%
19-Jul-21,30847,31824.00,31924.00,30514.00,12.80K,-3.07%
18-Jul-21,31824,31559.00,32427.00,31211.80,12.41K,0.84%
17-Jul-21,31559,31427.00,31975.00,31224.00,13.71K,0.41%
16-Jul-21,31429,31875.00,32266.00,31055.00,5.38K,-1.34%
15-Jul-21,31857,32822.60,33194.00,31170.00,6.96K,-2.94%
14-Jul-21,32822.6,32727.00,33117.00,31596.00,5.19K,0.29%
13-Jul-21,32727,33090.00,33333.00,32210.00,4.02K,-1.10%
12-Jul-21,33090,34239.00,34624.00,32616.00,8.41K,-3.36%
11-Jul-21,34239,33506.00,34584.00,33317.00,2.15K,2.19%
10-Jul-21,33506,33769.00,34221.00,33024.00,6.46K,-0.78%
9-Jul-21,33769,32873.90,34044.00,32574.00,6.66K,2.72%
8-Jul-21,32873.9,33886.00,33939.00,32063.00,14.29K,-2.99%
7-Jul-21,33886,34256.00,35076.00,33826.00,3.51K,-0.74%
6-Jul-21,34140,33668.00,34858.80,33668.00,8.81K,1.40%
5-Jul-21,33668,35289.00,35289.00,33479.20,7.72K,-4.59%
4-Jul-21,35289,35494.00,35782.00,35289.00,2.93K,1.53%
3-Jul-21,34758,33816.00,34762.00,33561.60,2.89K,2.79%
2-Jul-21,33816,33554.40,33924.00,32727.00,5.15K,0.78%
1-Jul-21,33554.4,35043.50,35043.50,32821.00,5.82K,-4.25%
30-Jun-21,35043.5,35895.90,35981.00,34754.00,3.45K,-2.37%
29-Jun-21,35895.9,34484.00,36411.00,34316.70,5.51K,4.09%
28-Jun-21,34484,34717.00,35168.00,34152.00,6.18K,-0.67%
27-Jun-21,34717,32359.00,34717.00,32359.00,28.71K,7.29%
26-Jun-21,32359,31584.70,32359.00,30331.00,20.53K,2.45%
25-Jun-21,31584,34656.60,34915.00,31584.00,37.67K,-8.87%
24-Jun-21,34656.6,33703.00,35137.20,32530.00,4.86K,2.83%
23-Jun-21,33703,32553.00,34196.00,32553.00,9.14K,3.53%
